(1007, 63.362)
(627, 63.394)
(990, 63.425)
(830, 63.456)
(809, 63.457)
(974, 63.457)
(47, 63.488)
(985, 63.52)
(976, 63.552)
(679, 63.553)
(680, 63.553)
(1011, 63.585)
(291, 63.586)
(29, 63.617)
(624, 63.648)
(643, 63.648)
(639, 63.649)
(575, 63.65)
(1024, 63.68)
(384, 63.68)
(1009, 63.681)
(625, 63.681)
(1020, 63.712)
(322, 63.712)
(613, 63.712)
(658, 63.712)
(761, 63.712)
(975, 63.712)
(998, 63.712)
(999, 63.712)
(516, 63.713)
(576, 63.713)
(831, 63.713)
(890, 63.713)
(902, 63.713)
(97, 63.714)
(1010, 63.744)
(314, 63.744)
(556, 63.744)
(583, 63.744)
(641, 63.744)
(665, 63.744)
(90, 63.744)
(986, 63.744)
(1023, 63.745)
(149, 63.745)
(589, 63.745)
(632, 63.745)
(673, 63.745)
(978, 63.745)
(1003, 63.776)
(602, 63.776)
(693, 63.776)
(740, 63.776)
(840, 63.776)
(970, 63.776)
(971, 63.776)
(983, 63.776)
(984, 63.776)
(989, 63.776)
(991, 63.776)
(1016, 63.777)
(541, 63.777)
(570, 63.777)
(578, 63.777)
(629, 63.777)
(692, 63.777)
(982, 63.777)
(1002, 63.778)
(1013, 63.808)
(1015, 63.808)
(416, 63.808)
(500, 63.808)
(540, 63.808)
(569, 63.808)
(651, 63.808)
(675, 63.808)
(720, 63.808)
(793, 63.808)
(841, 63.808)
(969, 63.808)
(981, 63.808)
(542, 63.809)
(553, 63.809)
(566, 63.809)
(585, 63.809)
(590, 63.809)
(752, 63.809)
(844, 63.809)
(854, 63.809)
(634, 63.81)
(1008, 63.84)
(1017, 63.84)
(129, 63.84)
(400, 63.84)
(663, 63.84)
(730, 63.84)
(782, 63.84)
(803, 63.84)
(819, 63.84)
(826, 63.84)
(980, 63.84)
(988, 63.84)
(993, 63.84)
(1001, 63.841)
(690, 63.841)
(926, 63.841)
(994, 63.841)
(1005, 63.842)
(862, 63.845)
(1012, 63.872)
(1018, 63.872)
(617, 63.872)
(812, 63.872)
(834, 63.872)
(1021, 63.873)
(581, 63.873)
(772, 63.873)
(967, 63.873)
(163, 63.874)
(1022, 63.904)
(167, 63.904)
