(1, 242.34)
(2, 121.57)
(3, 85.729)
(4, 63.872)
(5, 106.72)
(6, 75.968)
(7, 90.625)
(8, 63.872)
(9, 74.114)
(10, 85.441)
(11, 87.329)
(12, 88.256)
(13, 73.633)
(14, 83.458)
(15, 83.617)
(16, 73.121)
(17, 86.849)
(18, 92.865)
(19, 83.553)
(20, 85.376)
(21, 64.416)
(22, 82.656)
(23, 109.15)
(24, 74.4)
(25, 63.872)
(26, 74.113)
(27, 73.218)
(28, 82.689)
(29, 94.752)
(30, 86.498)
(31, 87.809)
(32, 94.241)
(33, 106.82)
(34, 73.152)
(35, 101.06)
(36, 82.849)
(37, 91.617)
(38, 82.882)
(39, 63.905)
(40, 92.065)
(41, 76.289)
(42, 92.353)
(43, 91.745)
(44, 83.776)
(45, 85.473)
(46, 97.504)
(47, 73.216)
(48, 85.408)
(49, 92.129)
(50, 94.56)
(51, 73.696)
(52, 82.561)
(53, 91.808)
(54, 85.504)
(55, 96.769)
(56, 73.25)
(57, 85.25)
(58, 88.138)
(59, 92.064)
(60, 82.817)
(61, 73.313)
(62, 83.778)
(63, 64.096)
(64, 85.568)
(65, 75.841)
(66, 73.217)
(67, 82.817)
(68, 85.472)
(69, 100.26)
(70, 73.056)
(71, 82.336)
(72, 73.728)
(73, 82.912)
(74, 94.849)
(75, 83.68)
(76, 82.432)
(77, 82.913)
(78, 82.528)
(79, 99.968)
(80, 91.778)
(81, 73.249)
(82, 82.912)
(83, 101.06)
(84, 94.689)
(85, 93.12)
(86, 63.904)
(87, 93.12)
(88, 82.464)
(89, 73.184)
(90, 109.35)
(91, 97.537)
(92, 93.057)
(93, 91.841)
(94, 85.281)
(95, 82.785)
(96, 92.16)
(97, 92.448)
(98, 94.4)
(99, 85.41)
(100, 72.993)
(101, 85.504)
(102, 83.233)
(103, 74.592)
(104, 73.632)
(105, 83.681)
(106, 83.137)
(107, 82.401)
(108, 82.337)
(109, 85.505)
(110, 83.842)
(111, 83.744)
(112, 85.378)
(113, 73.216)
(114, 82.592)
(115, 98.4)
(116, 97.185)
(117, 74.368)
(118, 82.497)
(119, 83.649)
(120, 93.185)
(121, 92.066)
(122, 83.777)
(123, 87.744)
(124, 97.024)
(125, 73.216)
(126, 101.09)
(127, 83.36)
(128, 83.777)
(129, 82.786)
(130, 73.185)
(131, 92.128)
(132, 82.432)
(133, 82.592)
(134, 82.657)
(135, 82.624)
(136, 85.762)
(137, 92.416)
(138, 73.449)
(139, 86.688)
(140, 82.753)
(141, 83.072)
(142, 73.378)
(143, 82.529)
(144, 100.35)
(145, 73.249)
(146, 91.618)
(147, 91.841)
(148, 82.209)
(149, 85.793)
(150, 91.68)
(151, 83.617)
(152, 92.033)
(153, 85.504)
(154, 76.032)
(155, 82.656)
(156, 82.721)
(157, 85.57)
(158, 92.065)
(159, 82.56)
(160, 83.106)
(161, 82.785)
(162, 98.818)
(163, 85.345)
(164, 85.441)
(165, 82.401)
(166, 106.79)
(167, 98.081)
(168, 82.561)
(169, 88.192)
(170, 78.721)
(171, 83.202)
(172, 73.441)
(173, 82.946)
(174, 98.369)
(175, 83.586)
(176, 83.52)
(177, 82.528)
(178, 73.184)
(179, 82.529)
(180, 100.23)
(181, 73.184)
(182, 73.313)
(183, 73.697)
(184, 87.552)
(185, 91.777)
(186, 73.281)
(187, 109.35)
(188, 94.465)
(189, 85.282)
(190, 85.346)
(191, 82.51)
(192, 86.465)
(193, 82.562)
(194, 73.856)
(195, 73.729)
(196, 73.376)
(197, 97.6)
(198, 76.32)
(199, 92.0)
(200, 82.914)
(201, 85.506)
(202, 94.273)
(203, 82.592)
(204, 93.154)
(205, 92.322)
(206, 85.282)
(207, 73.153)
(208, 106.31)
(209, 82.624)
(210, 97.281)
(211, 116.03)
(212, 77.472)
(213, 82.944)
(214, 82.818)
(215, 85.664)
(216, 83.521)
(217, 82.977)
(218, 93.344)
(219, 63.521)
(220, 92.001)
(221, 85.312)
(222, 90.817)
(223, 82.593)
(224, 82.912)
(225, 94.177)
(226, 85.024)
(227, 82.56)
(228, 82.464)
(229, 98.849)
(230, 82.338)
(231, 73.569)
(232, 83.842)
(233, 82.592)
(234, 74.498)
(235, 101.82)
(236, 82.594)
(237, 83.713)
(238, 91.777)
(239, 98.592)
(240, 109.19)
(241, 91.713)
(242, 73.353)
(243, 92.962)
(244, 106.15)
(245, 97.664)
(246, 104.96)
(247, 85.217)
(248, 94.625)
(249, 84.13)
(250, 85.378)
(251, 82.176)
(252, 73.184)
(253, 108.19)
(254, 85.184)
(255, 83.809)
(256, 82.561)
(257, 85.28)
(258, 83.776)
(259, 73.25)
(260, 73.153)
(261, 82.53)
(262, 82.817)
(263, 82.465)
(264, 83.009)
(265, 82.433)
(266, 86.338)
(267, 102.56)
(268, 92.8)
(269, 73.281)
(270, 76.096)
(271, 82.881)
(272, 73.632)
(273, 104.0)
(274, 74.209)
(275, 93.76)
(276, 82.944)
(277, 91.682)
(278, 82.624)
(279, 86.69)
(280, 82.657)
(281, 92.002)
(282, 76.13)
(283, 86.592)
(284, 73.474)
(285, 98.528)
(286, 82.658)
(287, 101.28)
(288, 82.946)
(289, 92.064)
(290, 94.656)
(291, 73.153)
(292, 83.745)
(293, 91.296)
(294, 85.281)
(295, 73.408)
(296, 82.752)
(297, 85.346)
(298, 83.81)
(299, 101.06)
(300, 63.937)
(301, 82.689)
(302, 82.752)
(303, 84.002)
(304, 73.505)
(305, 93.067)
(306, 83.936)
(307, 83.809)
(308, 73.633)
(309, 95.361)
(310, 84.065)
(311, 84.711)
(312, 76.065)
(313, 82.688)
(314, 85.281)
(315, 73.217)
(316, 95.265)
(317, 73.218)
(318, 82.912)
(319, 82.657)
(320, 74.401)
(321, 82.818)
(322, 92.481)
(323, 82.625)
(324, 83.776)
(325, 73.762)
(326, 82.849)
(327, 97.281)
(328, 94.466)
(329, 100.29)
(330, 83.841)
(331, 73.152)
(332, 73.409)
(333, 72.896)
(334, 99.905)
(335, 73.154)
(336, 85.473)
(337, 107.17)
(338, 82.56)
(339, 64.033)
(340, 82.817)
(341, 63.936)
(342, 97.505)
(343, 63.84)
(344, 99.97)
(345, 73.536)
(346, 73.314)
(347, 84.064)
(348, 64.161)
(349, 101.15)
(350, 88.192)
(351, 83.937)
(352, 82.657)
(353, 73.665)
(354, 85.121)
(355, 76.48)
(356, 93.024)
(357, 73.217)
(358, 82.624)
(359, 88.673)
(360, 83.585)
(361, 98.434)
(362, 82.241)
(363, 92.032)
(364, 82.465)
(365, 91.937)
(366, 92.097)
(367, 82.656)
(368, 94.465)
(369, 94.848)
(370, 101.54)
(371, 92.928)
(372, 83.904)
(373, 106.5)
(374, 92.833)
(375, 82.304)
(376, 96.832)
(377, 73.536)
(378, 83.585)
(379, 91.938)
(380, 83.681)
(381, 73.633)
(382, 82.624)
(383, 106.56)
(384, 85.696)
(385, 82.818)
(386, 93.056)
(387, 92.16)
(388, 73.153)
(389, 114.72)
(390, 109.92)
(391, 91.841)
(392, 96.096)
(393, 82.817)
(394, 73.282)
(395, 74.24)
(396, 93.057)
(397, 73.122)
(398, 92.258)
(399, 91.905)
(400, 64.162)
(401, 72.96)
(402, 82.4)
(403, 97.217)
(404, 63.84)
(405, 88.256)
(406, 92.033)
(407, 73.377)
(408, 63.842)
(409, 94.881)
(410, 82.24)
(411, 73.184)
(412, 106.72)
(413, 72.961)
(414, 84.065)
(415, 84.832)
(416, 72.961)
(417, 73.505)
(418, 91.904)
(419, 64.0)
(420, 63.649)
(421, 63.905)
(422, 63.616)
(423, 64.481)
(424, 64.352)
(425, 63.649)
(426, 64.193)
(427, 64.128)
(428, 64.0)
(429, 63.904)
(430, 64.256)
(431, 63.904)
(432, 63.841)
(433, 64.001)
(434, 64.448)
(435, 63.745)
(436, 63.872)
(437, 63.906)
(438, 64.0)
(439, 76.578)
(440, 64.737)
(441, 64.481)
(442, 64.13)
(443, 64.129)
(444, 64.128)
(445, 63.808)
(446, 63.904)
(447, 64.896)
(448, 90.721)
(449, 63.936)
(450, 64.064)
(451, 63.462)
(452, 64.257)
(453, 73.824)
(454, 63.744)
(455, 63.968)
(456, 64.288)
(457, 63.616)
(458, 64.609)
(459, 63.872)
(460, 63.905)
(461, 70.4)
(462, 63.872)
(463, 63.584)
(464, 64.16)
(465, 64.192)
(466, 63.552)
(467, 64.096)
(468, 63.745)
(469, 63.682)
(470, 63.488)
(471, 70.272)
(472, 63.712)
(473, 63.968)
(474, 63.424)
(475, 63.552)
(476, 64.32)
(477, 63.777)
(478, 64.545)
(479, 63.969)
(480, 64.0)
(481, 64.865)
(482, 63.937)
(483, 63.808)
(484, 63.841)
(485, 64.032)
(486, 63.808)
(487, 63.649)
(488, 63.968)
(489, 63.457)
(490, 63.841)
(491, 64.193)
(492, 64.193)
(493, 63.841)
(494, 64.064)
(495, 63.873)
(496, 63.585)
(497, 64.289)
(498, 63.938)
(499, 63.681)
(500, 63.617)
(501, 63.94)
(502, 63.841)
(503, 63.841)
(504, 63.906)
(505, 63.936)
(506, 63.905)
(507, 63.521)
(508, 70.178)
(509, 63.841)
(510, 66.816)
(511, 63.905)
(512, 63.904)
(513, 64.192)
(514, 64.224)
(515, 63.969)
(516, 63.872)
(517, 63.809)
(518, 63.808)
(519, 63.904)
(520, 63.905)
(521, 63.712)
(522, 63.489)
(523, 63.84)
(524, 63.841)
(525, 63.841)
(526, 64.032)
(527, 63.937)
(528, 64.001)
(529, 63.968)
